Order ID,Status
740,Pending
775,Pending
833,Pending
902,Pending
15712,Pending
15718,Pending
15778,Pending
15872,Pending
15904,Pending
16134,Pending
16582,Pending
16641,Pending
16679,Pending
16864,Pending
16961,Pending
17058,Pending
17155,Pending
17255,Pending
17282,Pending
17313,Pending
17508,Pending
17668,Pending
17858,Pending
17985,Pending
17988,Pending
18119,Pending
18215,Pending
18336,Pending
58470,Pending
58500,Pending
58566,Pending
58688,Pending
58720,Pending
58725,Pending
58818,Pending
58949,Pending
59009,Pending
59047,Pending
59072,Pending
59139,Pending
59171,Pending
59585,Pending
59652,Pending
59680,Pending
59683,Pending
59776,Pending
59879,Pending
59937,Pending
